Variable,Cluster,Sub-Cluster,Description,PCA Groups,Categories
m_CCRS_ALL_nto_2_years_ago,2,1,Number of loans in the last 2 years,Loan Activity,nto all loans
m_CCRS_C3_ato_1_year_ago,2,1,Total amount of Online Installment loans in the last year,Loan Activity,ato all loans
m_CCRS_C3_dd_7_years_ago,2,1,Number of days with one or more Online Installment loans in the last 7 years,Loan Activity,nto/dd online loans
m_CCRS_C3_nto_3_years_ago,2,1,Number of Online Installment loans in the last 3 years,Loan Activity,nto/dd online loans
m_CAAS_ALL_ato_7_days_ago,2,2,Total amount of loans in the last 7 days,Loan Activity,ato/nto/dd loans short-term
m_CAAS_ALL_dd_7_days_ago,2,2,Number of days with one or more open/active loans in the last 7 days,Loan Activity,ato/nto/dd loans short-term
m_CCRS_ALL_ato_1_year_ago,2,2,Total amount of loans in the last 1 year,Loan Activity,ato/nto/dd loans short-term
m_CCRS_ALL_dd_1_year_ago,2,2,Number of days with one or more open/active loans in the last 1 year,Loan Activity,ato/nto/dd loans short-term
m_CCRS_ALL_nto_15_days_ago,2,2,Number of loans in the last 15 days,Loan Activity,ato/nto/dd loans short-term
m_CCRS_ALL_nto_60_days_ago,2,2,Number of loans in the last 60 days,Loan Activity,ato/nto/dd loans short-term
m_CAAS_C5_inq_2_years_ago,,,Total number of Rent to Own Credit inquiries in the last 2 years,Inquiries,
m_ccrea_fip1380,,,Total number of personal finance trades never delinquent or derogatory in the last 24 months,Bank/Credit Card Activity & Trades,
m_ccrea_iln7150,,,Overall scheduled payment to actual payment ratio on open installment trades with actual payment > $0 reported in last 6 months,Credit Card Utilization,
