app_id,bad,m_inq_date_of_last_activity,m_CCRS_ALL_dd_7_years_ago,m_ccr_days_since_last_ontime_pmt,m_ccr_days_since_last_loan_pmt,m_inq_net_monthly_income,m_bba_p_d_since_validated_trade,m_bba_p_default_history,m_bba_p_A05,m_bba_p_A06,m_bba_p_B38,m_cbb_A05,m_cbb_A06,m_cbb_B04,m_cbb_B38,m_ccr_cd_10,m_ccr_cd_29,m_ccr_cd_32,m_ccr_cd_33,m_ccr_cd_37,m_ccr_cd_cnt,m_bba_p_d_since_first_seen_by_c,m_bba_p_d_since_last_seen_by_cl,m_bba_p_default_rate_60_days_ago,m_bba_p_default_rate_61_365_d_a,m_bba_p_high_risk_factors,m_caaea_col2758,m_caaea_col5060,m_caaea_iqt9410,m_caaea_iqt9415,m_caaea_iqt9425,m_caaea_iqt9426,m_CAAS_ALL_ato_24_hours_ago,m_CAAS_ALL_ato_7_days_ago,m_CAAS_ALL_dd_24_hours_ago,m_CAAS_ALL_dd_7_days_ago,m_CAAS_ALL_nto_24_hours_ago,m_CAAS_C1_inq_3_years_ago,m_CAAS_C3_ato_24_hours_ago,m_CAAS_C3_ato_7_days_ago,m_CAAS_C3_dd_24_hours_ago,m_CAAS_C3_inq_2_years_ago,m_CAAS_C3_inq_3_years_ago,m_CAAS_C3_nto_24_hours_ago,m_CAAS_C3_nto_7_days_ago,m_CAAS_C5_inq_1_year_ago,m_CAAS_C5_inq_180_days_ago,m_CAAS_C5_inq_2_years_ago,m_CAAS_CA_clu_15_days_ago,m_CAAS_CA_clu_180_days_ago,m_CAAS_CA_clu_30_days_ago,m_CAAS_CA_clu_60_days_ago,m_CAAS_CA_clu_90_days_ago,m_CAAS_CA_inq_2_years_ago,m_CAAS_CA_inq_3_years_ago,m_cbb_number_of_accounts_all,m_cbb_num_of_accounts_with_defa,m_cbb_num_of_high_risk_accounts,m_cbb_num_of_low_risk_accounts,m_cbb_num_of_unknown_risk_accou,m_ccr_amount_of_loans,m_ccr_amt_of_loans_paid_off,m_ccr_amt_of_loans_past_due,m_ccr_amtofloans_cur_and_open,m_ccr_d_since_1st_bank_acct_pre,m_ccr_days_since_1st_loan_opened,m_ccr_d_since_1st_loan_paidoff,m_ccr_days_since_1st_ontime_pmt,m_ccr_d_since_last_loan_paidoff,m_ccr_d_since_previous_ban_0001,m_ccr_d_since_previous_bankacct,m_ccr_d_since_reported_income_p,m_ccr_highest_num_of_d_past_due,m_ccr_num_of_bank_accounts,m_ccr_num_of_employ_last_6_mon,m_ccr_num_of_loans,m_ccr_num_of_loans_cur_and_ope,m_ccr_num_of_loans_paid_off,m_ccr_num_of_loans_past_due,m_ccrea_col3210,m_CCRS_ALL_acl_3_years_ago,m_CCRS_ALL_alp_1_year_ago,m_CCRS_ALL_alp_2_years_ago,m_CCRS_ALL_alp_3_years_ago,m_CCRS_ALL_alp_30_days_ago,m_CCRS_ALL_alp_60_days_ago,m_CCRS_ALL_alp_7_years_ago,m_CCRS_ALL_alp_90_days_ago,m_CCRS_ALL_ato_1_year_ago,m_CCRS_ALL_ato_15_days_ago,m_CCRS_ALL_ato_180_days_ago,m_CCRS_ALL_ato_2_years_ago,m_CCRS_ALL_ato_3_years_ago,m_CCRS_ALL_ato_30_days_ago,m_CCRS_ALL_ato_60_days_ago,m_CCRS_ALL_ato_7_years_ago,m_CCRS_ALL_ato_90_days_ago,m_CCRS_ALL_dd_1_year_ago,m_CCRS_ALL_dd_15_days_ago,m_CCRS_ALL_dd_180_days_ago,m_CCRS_ALL_dd_2_years_ago,m_CCRS_ALL_dd_3_years_ago,m_CCRS_ALL_dd_30_days_ago,m_CCRS_ALL_dd_60_days_ago,m_CCRS_ALL_dd_90_days_ago,m_CCRS_ALL_dlp_180_days_ago,m_CCRS_ALL_dlp_2_years_ago,m_CCRS_ALL_dlp_3_years_ago,m_CCRS_ALL_dlp_7_years_ago,m_CCRS_ALL_ncl_3_years_ago,m_CCRS_ALL_nlp_2_years_ago,m_CCRS_ALL_nlp_30_days_ago,m_CCRS_ALL_nlp_60_days_ago,m_CCRS_ALL_nlp_90_days_ago,m_CCRS_ALL_nto_1_year_ago,m_CCRS_ALL_nto_15_days_ago,m_CCRS_ALL_nto_180_days_ago,m_CCRS_ALL_nto_2_years_ago,m_CCRS_ALL_nto_3_years_ago,m_CCRS_ALL_nto_30_days_ago,m_CCRS_ALL_nto_60_days_ago,m_CCRS_ALL_nto_7_years_ago,m_CCRS_ALL_nto_90_days_ago,m_CCRS_C1_ato_7_years_ago,m_CCRS_C1_inq_1_year_ago,m_CCRS_C1_inq_15_days_ago,m_CCRS_C1_inq_180_days_ago,m_CCRS_C1_inq_60_days_ago,m_CCRS_C1_inq_90_days_ago,m_CCRS_C1_nto_7_years_ago,m_CCRS_C3_alp_1_year_ago,m_CCRS_C3_alp_2_years_ago,m_CCRS_C3_alp_3_years_ago,m_CCRS_C3_alp_7_years_ago,m_CCRS_C3_ato_1_year_ago,m_CCRS_C3_ato_15_days_ago,m_CCRS_C3_ato_180_days_ago,m_CCRS_C3_ato_2_years_ago,m_CCRS_C3_ato_3_years_ago,m_CCRS_C3_ato_30_days_ago,m_CCRS_C3_ato_60_days_ago,m_CCRS_C3_ato_7_years_ago,m_CCRS_C3_ato_90_days_ago,m_CCRS_C3_dd_1_year_ago,m_CCRS_C3_dd_15_days_ago,m_CCRS_C3_dd_180_days_ago,m_CCRS_C3_dd_2_years_ago,m_CCRS_C3_dd_3_years_ago,m_CCRS_C3_dd_30_days_ago,m_CCRS_C3_dd_60_days_ago,m_CCRS_C3_dd_7_years_ago,m_CCRS_C3_dd_90_days_ago,m_CCRS_C3_dlp_2_years_ago,m_CCRS_C3_dlp_3_years_ago,m_CCRS_C3_dlp_7_years_ago,m_CCRS_C3_inq_1_year_ago,m_CCRS_C3_inq_15_days_ago,m_CCRS_C3_inq_180_days_ago,m_CCRS_C3_inq_30_days_ago,m_CCRS_C3_inq_60_days_ago,m_CCRS_C3_inq_90_days_ago,m_CCRS_C3_nlp_1_year_ago,m_CCRS_C3_nlp_2_years_ago,m_CCRS_C3_nlp_3_years_ago,m_CCRS_C3_nlp_7_years_ago,m_CCRS_C3_nto_1_year_ago,m_CCRS_C3_nto_15_days_ago,m_CCRS_C3_nto_180_days_ago,m_CCRS_C3_nto_2_years_ago,m_CCRS_C3_nto_3_years_ago,m_CCRS_C3_nto_30_days_ago,m_CCRS_C3_nto_60_days_ago,m_CCRS_C3_nto_7_years_ago,m_CCRS_C3_nto_90_days_ago,m_CCRS_CA_inq_1_year_ago,m_CCRS_CA_inq_15_days_ago,m_CCRS_CA_inq_180_days_ago,m_CCRS_CA_inq_30_days_ago,m_CCRS_CA_inq_60_days_ago,m_CCRS_CA_inq_90_days_ago,m_inq_total_historical_inquiries,m_caaea_all0317,m_caaea_all0400,m_caaea_all0446,m_caaea_all2427,m_caaea_all2428,m_caaea_all5360,m_caaea_all7340,m_caaea_iqt9420,m_ccrea_all7360,m_ccrea_rev0300,m_ccrea_all8221,m_caaea_all1360,m_caaea_brc1300,m_caaea_rev1300,m_caaea_all1380,m_caaea_all2000,m_caaea_brc0300,m_caaea_all0100,m_caaea_all2707,m_caaea_all2357,m_caaea_all2326,m_caaea_all2327,m_caaea_all2380,m_caaea_all2001,m_caaea_all2005,m_caaea_all3510,m_caaea_all3517,m_caaea_all8325,m_caaea_bca0300,m_caaea_bca0416,m_caaea_bca2350,m_caaea_bcc0416,m_caaea_bcc0446,m_caaea_bcc3342,m_caaea_bcc3345,m_caaea_brc0400,m_caaea_brc0416,m_caaea_rev0416,m_caaea_rtr1300,m_ccrea_bcc2688,m_caaea_rev2320,m_caaea_brc3425,m_caaea_rev3421,m_caaea_rev4070,m_ccrea_rev4080,m_caaea_bcc5421,m_ccrea_fip1380,m_caaea_all2002,m_caaea_all5047,m_caaea_all5070,m_caaea_all5743,m_caaea_bca3510,m_caaea_bcc1360,m_caaea_bcc3421,m_caaea_bcc3422,m_caaea_bcc3512,m_caaea_bcx3421,m_caaea_brc3510,m_caaea_rev1360,m_caaea_rev3510,m_caaea_tbcc1502,m_ccrea_als2000,m_ccrea_rev8151,m_ccrea_all7936,m_caaea_tcol3593,m_ccrea_rtr5038,m_caaea_rev5040,m_caaea_bca5020,m_caaea_bca5030,m_caaea_bcc5320,m_caaea_bcc5620,m_caaea_bcc5627,m_caaea_bcc7117,m_caaea_brc5020,m_caaea_brc5320,m_caaea_brc5620,m_caaea_brc5830,m_caaea_rev5320,m_caaea_rev5420,m_caaea_rev5620,m_caaea_rev5627,m_caaea_rtr5320,m_caaea_taua4710,m_caaea_tbca2301,m_caaea_tbca2619,m_caaea_tbca3255,m_caaea_tbcc2261,m_caaea_tbcc4355,m_ccrea_brc5747,m_ccrea_rev7432,m_ccrea_tbca2624,m_ccrea_tbca3283,m_ccrea_tbcc2303,m_ccrea_tbcc3203,m_ccrea_tbcc2351,m_ccrea_bcc7216,m_ccrea_bcx7110,m_ccrea_brc7140,m_ccrea_brc7160,m_ccrea_iln7150,m_bba_p_account_age_code,m_bba_p_validated_through_trades,m_ccr_worst_payment_rating,m_ccrea_aua6280,m_ccrea_bcc6160,m_ccrea_iln6230
20608,0,0,1,0,0,1,-0.08044,-0.09634,0,1,1,0,1,0,1,0,0,0,1,0,4,110,9,4.39,3.51,1,2,1039,5,1,1,3,0,0,0,6,0,0,0,0,0,6,7,0,0,0,0,0,0,2,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,500,0,0,1500,50,600,184,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,4,0,4,2,2,3,0,0,0,0,0,0,0,0,3,0,0,1,0,7,3,7,3,4,6,3,4,4,2,0,0,1039,40,8,40,5,0,0.105705,0.179208,0.178782,4,4,1,4,2,2,0,2,4,2,3,4,0,44,3,4,1,4,3,3,1,4,4,4,1,0,0,0,0,0,0,0.066925,-0.04232,0,0,500,0,4,4,3,1,1,3,4,4,4,2,5,18,75,1,1,0,0.070797,0.067643,0.158192,0.163681,0.1634,0.185509,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,-0.05813,0.055355,0.151629,0.068762,-0.0787,0.151224,0.105105,0.062252,0.103158,0.068762,0.16152,0.149187,0.123716,0.185645,0.059281,0.182567,0.154884,0.149725,-0.18754,1,0,0,0.125723,0.153668,0.136701
20457,0,1,1,0,0,0,-0.08044,0.262892,0,0,1,0,0,0,1,1,0,0,0,1,5,983,9,5.64,7.11,0,2,1573,5,2,3,5,255,255,1,6,1,1,0,0,0,7,8,0,0,0,0,0,10,8,4,3,5,18,20,1,0,0,0,1,765,510,0,1,6,500,1,0,60,7,983,14,0,1,2,3,1,2,0,2,0,0,0,0,0,0,0,0,765,1,510,765,765,255,510,765,1,39,1,19,39,39,1,6,19,0,0,0,0,0,0,0,0,0,3,1,2,3,3,1,2,3,2,765,2,5,3,1,1,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,5,18,59,10,28,20,0,0,0,0,0,0,0,0,3,0,0,1,0,20,20,16,15,10,15,20,4,4,2,0,1,4073,47,8,47,5,0,0.105705,0.179208,0.178782,4,4,1,4,3,4,3,4,7,0,4,4,1,44,3,4,1,4,3,3,1,7,7,7,2,1,0,0,0,0,0,0.066925,-0.04232,0,1,2546,0,4,3,4,3,1,2,4,4,4,2,7,1,53,0,0,0,0.070797,0.067643,0.158192,0.163681,0.1634,0.185509,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,0.072335,0.055355,0.151629,0.068762,0.106781,0.151224,0.105105,-0.11478,0.103158,0.068762,0.16152,0.149187,0.123716,0.185645,0.059281,-0.08852,0.154884,0.149725,0.073789,0,0,1,0.058109,-0.08877,0.010999
17871,0,1,1,1,1,0,0.088674,0.262892,1,0,1,1,0,0,1,1,0,0,0,0,4,58,9,10.23,8.52,0,2,2287,8,1,1,5,500,500,1,7,1,1,1,1,1,7,8,1,1,0,0,0,2,8,4,3,5,18,20,1,0,0,1,0,500,0,0,1,6,500,0,20,1500,7,58,14,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,500,1,500,500,500,500,500,500,1,28,1,28,28,28,1,28,28,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,1,3,1,1,4,0,0,0,0,500,500,500,2000,2000,500,500,500,500,28,15,28,28,28,29,59,28,28,0,0,0,5,2,14,3,14,14,0,0,0,0,1,1,1,1,3,1,1,1,1,20,3,16,7,10,15,20,4,4,2,1,1,2390,43,12,30,5,0,-0.08674,-0.06377,-0.06826,4,2,1,4,2,5,5,5,7,0,0,4,6,44,1,1,1,1,1,1,0,3,3,3,2,1,0,0,0,0,0,0.066925,0.129778,0,1,1768,0,1,0,1,1,1,1,2,1,2,2,2,0,25,1,1,0,0.070797,0.067643,0.016104,-0.11865,-0.11813,-0.16829,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,0.072335,-0.17052,-0.1139,0.068762,0.106781,0.151224,0.105105,-0.11478,-0.0881,0.068762,-0.03012,0.149187,-0.0231,-0.03886,0.059281,-0.15333,-0.21139,-0.11351,-0.18754,1,1,1,0.043854,-0.08877,-0.14533
21194,0,0,1,0,0,0,-0.08044,-0.09634,0,0,0,0,0,0,0,0,0,1,0,0,4,931,10,8.32,10.48,0,2,7166,5,3,5,20,0,0,0,6,0,0,0,0,0,6,7,0,0,1,1,2,2,6,2,3,5,18,20,2,0,0,0,2,0,0,0,0,1577,500,0,0,1500,115,931,14,0,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,4,0,4,2,2,3,0,0,0,0,0,0,0,0,3,0,0,1,0,20,6,15,6,10,14,20,3,1,1,0,0,5000,63,37,63,1,0,-0.08674,-0.06377,-0.06826,3,1,1,4,0,0,0,0,5,0,0,1,0,44,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,-0.29184,-0.04232,0,0,500,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,4,1,2,29,0,1,1,-0.38033,-0.35094,-0.29184,-0.29184,-0.29184,-0.29379,-0.33116,-0.32523,-0.32523,-0.32523,-0.32773,-0.32773,-0.32773,-0.32773,-0.09228,0.055355,-0.34675,-0.32958,-0.35741,-0.29408,-0.32623,-0.3053,-0.30694,-0.32958,-0.35214,-0.29408,-0.29408,-0.29408,-0.32776,-0.32104,-0.21139,-0.32523,-0.18754,0,0,0,0.043854,-0.29184,0.136701
22603,0,0,1,0,0,0,-0.08044,-0.09634,0,0,0,0,0,0,0,0,0,0,1,0,4,1772,10,6.62,6.84,0,4,3570,0,0,0,0,0,0,0,6,0,1,0,0,0,6,7,0,0,0,0,0,0,2,0,2,2,7,10,2,0,0,0,2,1464,0,0,0,718,1772,0,0,1500,105,105,105,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,4,0,4,2,2,3,0,0,0,0,0,0,0,0,3,0,0,1,0,7,3,7,3,4,6,20,4,2,2,0,0,5000,57,0,57,5,0,-0.08674,-0.06377,-0.06826,2,1,1,4,3,5,5,5,12,1,0,3,2,52,2,1,1,1,1,2,0,2,2,2,2,0,0,0,0,0,0,0.066925,-0.04232,1,1,5000,0,2,1,1,1,1,0,3,1,3,2,1,0,8,0,1,0,0.070797,0.067643,0.016104,-0.11865,-0.11813,0.047475,0.058774,0.107368,-0.12617,0.089572,0.100042,0.092296,-0.13054,-0.12958,0.072335,0.055355,-0.1139,0.068762,0.106781,0.151224,0.105105,-0.11478,-0.0881,0.068762,-0.03012,0.149187,-0.0231,-0.03886,0.059281,-0.15333,-0.21139,-0.11351,-0.09312,0,0,0,0.058109,-0.08877,0.010999
18166,0,0,1,0,0,0,-0.08044,-0.09634,0,0,0,0,0,0,0,1,0,0,1,0,4,267,10,3.81,10.57,0,4,1829,6,1,1,3,0,0,0,6,0,1,0,0,0,6,7,0,0,1,0,1,0,2,0,2,2,4,6,2,0,1,1,0,210,0,0,0,487,500,0,0,1500,78,267,78,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,210,210,0,0,210,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,210,0,0,0,0,0,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,4,0,4,2,2,3,0,0,0,0,0,0,0,0,3,0,0,1,0,7,3,7,3,4,6,7,4,3,1,1,1,5000,90,7,70,4,0,-0.26429,-0.06377,-0.06826,0,2,1,4,3,4,5,5,7,3,0,3,1,44,3,3,1,3,1,3,0,3,3,3,1,1,0,0,0,0,0,0.066925,-0.04232,2,0,500,0,3,0,3,3,3,3,3,0,3,2,2,1,0,0,1,1,0.070797,0.067643,0.016104,0.163681,0.1634,0.185509,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,-0.05813,0.055355,0.151629,0.068762,0.106781,0.151224,0.105105,0.062252,-0.0881,0.068762,0.16152,0.149187,-0.0231,-0.03886,0.059281,0.182567,0.154884,0.149725,-0.09312,0,0,0,0.043854,0.012685,0.010999
16376,0,0,0,0,0,0,-0.08044,-0.09634,0,0,0,0,0,0,0,1,1,0,0,1,5,339,9,12.56,11.3,0,5,20000,10,0,0,9,500,500,1,7,1,1,1,1,1,7,8,1,1,0,0,0,0,5,0,2,2,18,20,5,1,0,1,3,14649,1707,1,0,380,1314,1,682,633,32,339,32,1,5,3,4,0,1,1,2,1,1,1,1,0,0,1,0,3000,1,500,14649,14649,500,500,14649,1,365,1,180,730,1095,1,60,90,0,1,4,1,1,1,0,0,0,2,1,1,4,4,1,1,4,1,0,2,0,3,1,1,4,1,1,1,1,500,500,500,2000,2000,500,500,500,500,365,15,180,379,379,30,60,379,90,1,1,1,5,0,13,2,12,12,1,1,1,1,1,1,1,1,3,1,1,1,1,20,3,16,3,10,15,20,4,4,2,0,1,5000,43,27,37,5,0,0.105705,0.179208,0.178782,4,4,1,4,3,5,5,5,22,4,4,4,0,44,3,2,1,2,2,2,1,5,5,5,2,0,0,0,0,0,0,0.066925,-0.12103,2,0,5000,0,2,2,1,0,0,1,3,4,3,0,10,11,38,1,1,0,0.070797,0.067643,0.016104,0.163681,0.1634,0.047475,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,0.072335,0.055355,0.151629,0.068762,0.106781,0.151224,0.105105,0.062252,0.103158,0.068762,0.16152,0.149187,0.123716,0.185645,0.059281,0.182567,0.154884,0.149725,0.073789,0,0,0,-0.25264,-0.08877,-0.14533
21286,0,1,1,1,1,0,0.088674,0.262892,1,0,0,1,0,1,0,0,1,1,1,1,5,788,10,9.91,9.99,0,1,0,7,2,3,3,1650,1650,1,7,2,1,1,1,1,7,8,2,2,0,0,0,1,8,1,3,5,18,20,6,0,0,1,4,2670,220,0,1,1156,1505,1,1120,1484,43,43,43,1,6,4,6,1,1,0,1,0,0,0,1,0,0,1,0,1650,1,1650,1650,2450,1650,1650,2670,1,95,1,95,95,143,1,60,90,0,0,45,1,0,0,0,0,0,4,2,4,4,5,4,4,6,4,220,2,0,3,1,1,4,0,0,1,1,1650,1650,1650,2000,2450,1650,1650,2450,1650,95,15,95,95,143,30,60,207,90,0,1,1,5,3,26,3,18,18,0,0,1,1,4,2,2,4,4,4,4,5,4,20,3,16,3,10,15,20,4,4,2,0,0,2105,25,9,13,5,0,0.105705,-0.06377,-0.06826,4,4,1,4,1,2,3,4,2,3,3,4,0,44,2,1,0,1,0,0,0,3,3,3,1,0,0,0,0,0,0,0.066925,0.129778,2,0,500,0,1,1,1,1,1,1,4,3,4,0,6,1,70,0,0,0,0.070797,0.067643,0.016104,0.163681,0.1634,0.185509,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,0.072335,0.055355,0.151629,0.068762,0.106781,-0.06903,0.105105,0.062252,0.103158,0.068762,-0.03012,-0.10458,-0.0231,0.185645,0.059281,0.182567,0.154884,0.149725,0.073789,0,1,0,0.058109,0.153668,0.136701
21317,0,0,0,0,0,0,0.228023,-0.22576,1,0,0,1,0,0,0,0,1,0,0,0,4,938,10,9.33,9.19,0,0,580,7,1,2,5,15348,2000,1,7,2,1,1,1,1,7,8,2,2,0,0,0,0,6,0,3,4,18,20,6,1,0,1,4,33297,11999,1,1,1251,1602,1,1586,174,40,1304,40,1,6,3,15,1,8,1,1,1,1,1,1,0,0,1,0,3000,1,20000,30000,30000,10000,18348,33297,1,365,1,180,730,1095,1,60,90,1,1,43,1,1,1,0,0,0,9,2,6,13,13,3,4,15,4,1700,2,0,3,1,1,4,1,1,1,1,5823,1624,3424,8023,8023,1624,1624,8373,1624,365,15,180,730,1095,30,60,1583,90,1,1,1,5,0,10,2,9,9,1,1,1,1,5,2,2,7,4,2,2,8,2,20,3,14,3,10,12,20,4,4,2,1,1,523,47,13,24,5,0,0.105705,0.179208,0.178782,4,4,1,4,0,1,3,3,4,4,3,2,0,69,3,2,1,2,2,1,0,4,4,4,2,0,0,0,0,0,0,0.066925,-0.12103,2,0,500,0,1,2,1,1,1,1,1,4,1,2,5,18,63,1,1,0,0.070797,0.067643,0.016104,0.163681,0.1634,-0.16829,0.058774,0.107368,0.116049,0.089572,0.100042,0.092296,0.113528,0.113345,0.072335,0.055355,0.151629,0.068762,-0.0787,0.151224,-0.05363,0.062252,0.103158,0.068762,0.16152,-0.0513,0.123716,-0.03886,0.059281,-0.08852,0.154884,0.149725,0.073789,0,1,0,0.043854,0.153668,-0.14533
17381,0,0,1,0,0,0,-0.08044,-0.09634,0,0,1,0,0,0,1,0,0,0,1,1,5,297,9,6.12,7.23,0,1,586,7,2,5,11,0,0,0,6,0,1,0,0,0,6,7,0,0,1,1,2,1,8,2,3,5,18,20,1,0,0,0,1,0,0,0,0,7,500,0,0,1500,7,297,14,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,1,4,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,14,0,0,0,29,59,0,0,0,0,0,5,0,6,2,6,6,0,0,0,0,0,0,0,0,3,0,0,1,0,20,6,16,12,10,15,20,3,3,1,0,0,1881,33,21,33,2,0,-0.08674,-0.06377,-0.06826,2,2,1,4,1,1,0,1,2,0,0,2,0,44,2,2,0,2,1,1,0,2,2,2,1,0,0,0,0,0,0,0.066925,-0.04232,0,0,500,0,2,2,2,2,2,-1,2,2,2,1,2,2,67,0,1,0,0.070797,0.067643,0.016104,0.163681,0.1634,0.047475,0.058774,-0.04861,0.116049,0.089572,-0.04463,0.092296,0.113528,0.113345,-0.05813,0.055355,0.151629,0.068762,0.106781,0.151224,-0.05363,0.062252,0.103158,0.068762,-0.03012,0.149187,-0.0231,0.185645,0.059281,-0.32104,-0.02819,-0.11351,-0.09312,0,0,0,-0.25264,0.153668,-0.14533
